SampleID,Tissue,Factor,Condition,Replicate,bamReads,bamControl,Peaks
BT474.1-,BT474,ER,Resistant,1,reads/BT474_ER_1.bed.gz,reads/BT474_Input.bed.gz,peaks/BT474_ER_1.bed.gz
BT474.2-,BT474,ER,Resistant,2,reads/BT474_ER_2.bed.gz,reads/BT474_Input.bed.gz,peaks/BT474_ER_2.bed.gz
MCF7.1+,MCF7,ER,Responsive,1,reads/MCF7_ER_1.bed.gz,reads/MCF7_Input.bed.gz,peaks/MCF7_ER_1.bed.gz
MCF7.2+,MCF7,ER,Responsive,2,reads/MCF7_ER_2.bed.gz,reads/MCF7_Input.bed.gz,peaks/MCF7_ER_2.bed.gz
MCF7.3+,MCF7,ER,Responsive,3,reads/MCF7_ER_3.bed.gz,reads/MCF7_Input.bed.gz,peaks/MCF7_ER_3.bed.gz
T47D.1+,T47D,ER,Responsive,1,reads/T47D_ER_1.bed.gz,reads/T47D_Input.bed.gz,peaks/T47D_ER_1.bed.gz
T47D.2+,T47D,ER,Responsive,2,reads/T47D_ER_2.bed.gz,reads/T47D_Input.bed.gz,peaks/T47D_ER_2.bed.gz
MCF7.1-,MCF7,ER,Resistant,1,reads/TAMR_ER_1.bed.gz,reads/TAMR_Input.bed.gz,peaks/TAMR_ER_1.bed.gz
MCF7.2-,MCF7,ER,Resistant,2,reads/TAMR_ER_2.bed.gz,reads/TAMR_Input.bed.gz,peaks/TAMR_ER_2.bed.gz
ZR75.1+,ZR75,ER,Responsive,1,reads/ZR75_ER_1.bed.gz,reads/ZR75_Input.bed.gz,peaks/ZR75_ER_1.bed.gz
ZR75.2+,ZR75,ER,Responsive,2,reads/ZR75_ER_2.bed.gz,reads/ZR75_Input.bed.gz,peaks/ZR75_ER_2.bed.gz
